nom_hotel,pays,ville,adresse,nb_stars,note_commentaire,note_personnel,note_equipements,note_proprete,note_confort,note_rapp_qual_prix,note_site_geo,note_wifi,points_forts,lieu_appro,resto_cafe_appro,attraction_appro,env_nat_appro,transport_appro,aeroport_appro,type_logement,salle_de_bains,chambre,vue,en_exterieur,cuisine,equipements_en_chambre,coin_salon,high_tech,restauration,internet,parking,reception,services_de_nettoyage,services_d_affaires,en_supplement,securite,general,piscine_exterieure,bien_etre,langues_parlees,activites,divertissements,accessibilite
Grande Centre Point Surawong Bangkok,"Thaïlande


–

Très bon emplacement - voir la carte


–

Accès à la gare",10500 Bangkok,299 Thanon Surawong  Bang Rak,5,9.4,"9,6","9,7","9,8","9,8","9,3","8,9","9,1",Piscine extérieure ||Connexion Wi-Fi gratuite ||Navette aéroport ||Chambres familiales ||Chambres non-fumeurs ||Centre de remise en forme ||Parking gratuit ||Spa et centre de bien-être ||Plateau/bouilloire dans tous les hébergements ,"Bangkokian Museum 250m||Thailand Creative & Design Center 350m||British Club 400m||Siam Pet 550m||Sathorn Park 650m||Gratte-ciel MahaNakhon 1km||Pont Taksin 1,1km||Samyan Sky Garden 1,4km||Parc Lumpini 2,5km||Madame Tussauds Bangkok 2,6km||",Café / barStarbucks Coffee 300m||Café / barwhisgars 300m||Café / barMaggie Choo 300m||,"Maison de Jim Thompson 2,8km||SEA LIFE Bangkok Ocean World 2,8km||Museum of Siam 3,4km||Suan Pakkad Palace Museum 3,9km||Palais royal 4km||Bangkok City Pillar 4km||Musée national de Bangkok 4,5km||",unknown,"TrainStation de BTS-Surasak 750m||TrainBTS-Saphan Taksin 950m||MétroMétro (MRT) Hua Lamphong 1,3km||MétroMétro (MRT) Sam Yan 1,4km||BusGare routière d'Ekamai 7km||BusGare routière de Mo Chit 10km||","TrainStation de BTS-Surasak 750m||TrainBTS-Saphan Taksin 950m||MétroMétro (MRT) Hua Lamphong 1,3km||MétroMétro (MRT) Sam Yan 1,4km||BusGare routière d'Ekamai 7km||BusGare routière de Mo Chit 10km||",Chambre Lit King-Size Premium1 très grand lit double  : 3 adultes||Chambre Lits Jumeaux Premium2 lits simples  : 3 adultes||Chambre Lit King-Size Exécutive1 très grand lit double  : 2 adultes||Chambre Lits Jumeaux Exécutive2 lits simples  : 2 adultes||Hébergement Communicant Premium2 lits simpleset1 très grand lit double  : 5 adultes||Hébergement Exécutif Familial2 lits simpleset1 très grand lit double  : 5 adultes||Chambre Lit King-Size Deluxe1 très grand lit double  : 3 adultes||Chambre Lits Jumeaux Deluxe2 lits simples  : 3 adultes,Papier toilette||Serviettes||Bidet||Chaussons||Salle de bains privative||Toilettes||Articles de toilette gratuits||Peignoir||Sèche-cheveux||Baignoire||Douche,Linge de maison,Vue sur la ville||Vue,Terrasse,Bouilloire électrique||Réfrigérateur,Portant,Canapé||Coin salon,Télévision à écran plat||Chaînes du câble||Téléphone,Minibar||Restaurant||Plateau / bouilloire,Une connexion Wi-Fi est disponible dans les chambres gratuitemen,Un parking gratuit et privé est disponible sur place (sans réservation préalable,Réception ouverte 24h/24,Service de ménage quotidien||Presse à pantalons En supplément||Service de repassage En supplément||Nettoyage à sec En supplément||Blanchisserie/laverie En supplément,Salles de réunion/réception En supplément,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Cartes d'accès||Sécurité 24h/24||Coffre-fort,Service de navette||Supérette sur place||Espace fumeurs||Climatisation||Service de réveil||Insonorisation||Chambres insonorisées||Ascenseur||Chambres familiales||Équipements pour les personnes handicapées||Navette aéroport En supplément||Chambres non-fumeurs||Service d'étage,unknown,Piscine pour enfants||Fitness||Forfaits spa/bien-être||Bain à vapeur||Spa||Spa et centre de bien-être En supplément||Centre de remise en forme||Sauna,Anglais||Thaï,unknown,unknown,Toilettes avec barres d'appui||Accessible en fauteuil roulant||Étages supérieurs accessibles par ascenseur
Bangkok 68,"Thaïlande


–

Bon emplacement - voir la carte",10400 Bangkok,68 Soi Ratchada 17 (Soi Intamara 45) Dindaeng  Dindaeng  Din Daeng,3,7,"7,6","7,1","7,4","7,3","7,8","7,2","5,8",Piscine extérieure ||Connexion Wi-Fi gratuite ||Chambres familiales ||Chambres non-fumeurs ||Parking gratuit ||Réception ouverte 24h/24 ||Service d'étage ||Climatisation ||Ascenseur ||Bagagerie ,"Arabic Dance 600m||Up Yo Arse 650m||Dog Run At Park 1,1km||CampusPark 1,2km||Sais Shadows Park 1,2km||Dog Road 1,3km||Muang Thai Life Insurrance Park 1,4km||Rebels Swinging Space 1,6km||Fong Playground 1,7km||Parc de la reine Sirikit 3,1km||",Café / barPolicier Cafe 10m||Café / barNatcha Cafe 30m||Café / barWow Cafe 50m||,"Wachirabenchathat Park 3,4km||Bangkok Dolls Museum & Factory 3,9km||Monument de la Victoire 4,1km||Suan Pakkad Palace Museum 4,8km||SEA LIFE Bangkok Ocean World 5km||Maison de Jim Thompson 6km||Parc Lumpini 6km||Musée national de Bangkok 8km||Palais royal 9km||",LacLittle Boat In My Fish Pond 13km||,"MétroMétro (MRT) Sutthisan 600m||MétroMétro (MRT) Huai Khwang 900m||TrainGare BTS - Saphan Khwai 2,3km||TrainGare BTS - Mo Chit 2,5km||BusGare routière de Mo Chit 3,7km||BusGare routière d'Ekamai 7km||","MétroMétro (MRT) Sutthisan 600m||MétroMétro (MRT) Huai Khwang 900m||TrainGare BTS - Saphan Khwai 2,3km||TrainGare BTS - Mo Chit 2,5km||BusGare routière de Mo Chit 3,7km||BusGare routière d'Ekamai 7km||","Chambre Simple Économique1 lit simple  : 1 adulte, 1 enfant||Chambre Double Standard1 lit double  : 2 adultes, 1 enfant||Chambre Lits Jumeaux Standard2 lits simples  : 2 adultes, 1 enfant||Chambre Lit King-Size Supérieure1 grand lit double  : 2 adultes, 1 enfant||Chambre Triple Économique3 lits simples  : 3 adultes, 1 enfant||Chambre Familiale2 lits simpleset1 très grand lit double  : 4 adultes, 1 enfant||Chambre Triple Supérieure2 lits simpleset1 lit double  : 3 adultes, 1 enfant||Studio Triple1 lit simpleet1 lit double  : 3 adultes, 1 enfant",Papier toilette||Baignoire ou douche||Salle de bains privative||Toilettes||Articles de toilette gratuits,Armoire ou penderie,unknown,unknown,Réfrigérateur,Portant,unknown,Télévision à écran plat||Chaînes du câble,unknown,Une connexion Wi-Fi est disponible dans les parties communes gratuitemen,Un parking gratuit et privé est disponible à proximité (sans réservation préalable,unknown,unknown,unknown,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Cartes d'accès||Sécurité 24h/24,Climatisation||Ascenseur||Chambres familiales||Chambres non-fumeurs,unknown,Massages En supplément,Anglais||Thaï,unknown,unknown,unknown
Diamond Bangkok Apartment,"Thaïlande


–

Très bon emplacement - voir la carte


–

Accès à la gare et au métro",10400 Bangkok,1/1 Soi Phetburi 10 Phetburi Road  Ratchatavee   Ratchathewi,no rating,7,"7,5","7,1","7,4","7,6","7,7","8,3","5,6",Connexion Wi-Fi gratuite ||Parking gratuit ||Climatisation ||Blanchisserie/laverie ||Ascenseur ||Service de ménage quotidien ,,,,,,,"Appartement1 grand lit double  : 2 adultes, 1 enfant||Chambre Lits Jumeaux Standard2 lits simples  : 2 adultes, 1 enfant",Papier toilette||Serviettes||Salle de bains privative||Toilettes||Articles de toilette gratuits||Douche,Armoire ou penderie,unknown,Balcon,Bouilloire électrique||Réfrigérateur,Portant,Canapé||Coin salon,Chaînes du câble||Téléphone||Télévision,unknown,Une connexion Wi-Fi est disponible dans les chambres gratuitemen,Un parking gratuit et privé est disponible sur place (sans réservation préalable,unknown,unknown,unknown,unknown,unknown,Climatisation||Sol carrelé / en marbre||Ascenseur,unknown,unknown,Anglais||Thaï,unknown,unknown,unknown
The Bedrooms Boutique Hotel Bangkok,"Thaïlande


–

Très bon emplacement - voir la carte


–

Accès à la gare",10250 Bangkok,204/24 Sukhumvit 77 (On-Nut)  Phakkhanong Nua  Wattana   Wattana,3,8.4,"9,3","8,3","8,6","8,5","8,8","8,9","7,2",Connexion Wi-Fi gratuite ||Chambres non-fumeurs ||Centre de remise en forme ||Parking gratuit ||Restaurant ||Réception ouverte 24h/24 ||Service d'étage ||Climatisation ||Plateau/bouilloire dans tous les hébergements ||Petit-déjeuner ,,,,,,,"Chambre Double Exécutive1 très grand lit double  : 2 adultes, 1 enfant||Chambre Lits Jumeaux Deluxe2 lits simples  : 2 adultes, 1 enfant||Chambre Double Deluxe1 grand lit double  : 2 adultes, 1 enfant||Chambre Double Supérieure1 grand lit double  : 2 adultes, 1 enfant",Sèche-cheveux||Douche,unknown,unknown,Mobilier extérieur,Bouilloire électrique||Réfrigérateur,unknown,Bureau,Télévision à écran plat||Chaînes satellite||Téléphone,Café sur place||Restaurant||Plateau / bouilloire,Une connexion Wi-Fi est disponible dans tout l'établissement gratuitemen,Un parking gratuit et public est disponible sur place (sans réservation préalable,unknown,unknown,unknown,unknown,Coffre-fort,Espace fumeurs||Climatisation||Ascenseur||Chambres non-fumeurs,unknown,Centre de remise en forme,Anglais||Thaï,unknown,unknown,unknown
Bangkok Canale Home at Khaosarn,"Thaïlande


–

Très bon emplacement - voir la carte",10200 Bangkok,129/1 Soi Kasemsri Lang Wadtretodsatep  Ban Phan Thom  Phra Nakhon  Bangkok 10200  Phra Nakhon,no rating,7.7,"8,6","7,5","7,7","7,6","8,4","8,8","8,5",Connexion Wi-Fi gratuite ||Navette aéroport ||Chambres familiales ||Chambres non-fumeurs ||Terrasse ||Climatisation ||Jardin ||Plateau/bouilloire dans tous les hébergements ||Petit-déjeuner ,"Monument de la Démocratie 400m||Rattanakosin Exhibition Hall 550m||MDog Run 700m||Parc Santichiprakan 800m||Galerie nationale 850m||Musée national de Bangkok 1,1km||Sanam Luang 1,2km||Bangkok City Pillar 1,2km||Palais royal 1,6km||Vimanmek Mansion 1,9km||",Café / barThe Family 100m||Café / barKitty Cat Café 100m||Café / barZoo bar 100m||,"Museum of Siam 2km||Palais Chitralada 2,2km||Maison de Jim Thompson 3,1km||Madame Tussauds Bangkok 3,6km||Suan Pakkad Palace Museum 3,8km||SEA LIFE Bangkok Ocean World 4km||Parc Lumpini 5km||",unknown,"TrainWang Burapha 1,5km||TrainSanam Chai 2km||MétroMétro (MRT) Hua Lamphong 3km||MétroRatchathewi 3,3km||BusGare routière de Mo Chit 7km||BusGare routière du sud - Sai Tai Mai 8km||","TrainWang Burapha 1,5km||TrainSanam Chai 2km||MétroMétro (MRT) Hua Lamphong 3km||MétroRatchathewi 3,3km||BusGare routière de Mo Chit 7km||BusGare routière du sud - Sai Tai Mai 8km||","Chambre Double Supérieure1 grand lit double  : 2 adultes, 1 enfant||Chambre Familiale avec Salle de Bains Privative2 lits superposéset1 grand lit double  : 4 adultes, 1 enfant||Chambre Quadruple avec Salle de Bains Privative4 lits superposés  : 4 adultes, 1 enfant||Chambre Lits Jumeaux avec Salle de Bains Privative2 lits simples  : 2 adultes, 1 enfant",Papier toilette||Bidet||Toilettes supplémentaires||Baignoire ou douche||Salle de bains privative||Toilettes||Articles de toilette gratuits||Sèche-cheveux||Douche,unknown,Vue,Terrasse||Jardin,unknown,Prise près du lit||Étendoir||Portant,Coin salon||Bureau,Télévision à écran plat||Chaînes satellite||Télévision,Plateau / bouilloire,Une connexion Wi-Fi est disponible dans les chambres gratuitemen,L'établissement ne dispose pas de parkin,unknown,unknown,unknown,unknown,unknown,Climatisation||Chambres familiales||Chambres non-fumeurs,unknown,unknown,Anglais,Location de vélos En supplément||Cours de cuisine En supplémentEn dehors de l'établissement||Visite ou cours autour de la culture locale En supplément||Happy hour En supplément||Visites à vélo En supplément||Balades à pied En supplément,unknown,Étages supérieurs accessibles uniquement par les escaliers
Eurna Resort Hotel,"Thaïlande


–

Bon emplacement - voir la carte",10500 Bangkok,101/1 soi 9/1 Thakam  Rama 2 Samedam Bangkok,3,6.6,"7,5","6,7","7,0","7,1","6,9","7,1","6,9",Piscine extérieure ||Connexion Wi-Fi gratuite ||Chambres familiales ||Chambres non-fumeurs ||Parking gratuit ||Réception ouverte 24h/24 ||Service d'étage ||Terrasse ||Climatisation ||Petit-déjeuner ,,,,,,,"Suite avec Piscine PrivéeChambre 1:1 grand lit doubleChambre 2:1 grand lit doubleSalon :1 canapé-lit  : 6 adultes, 2 enfants||Suite avec Baignoire SpaChambre :1 grand lit doubleSalon :1 canapé-lit  : 4 adultes, 2 enfants||Chambre Double Supérieure1 grand lit double  : 2 adultes, 2 enfants||Chambre Double Deluxe1 grand lit double  : 2 adultes, 2 enfants||Chambre Double Standard1 grand lit double  : 2 adultes, 2 enfants||Chambre Triple3 lits simples  : 3 adultes, 2 enfants",Papier toilette||Serviettes||Baignoire ou douche||Salle de bains privative||Toilettes||Peignoir||Sèche-cheveux||Douche,unknown,unknown,Mobilier extérieur||Terrasse bien exposée||Balcon||Terrasse,Table à manger||Produits ménagers||Réfrigérateur,Étendoir||Portant,Coin repas||Canapé||Coin salon||Bureau,Télévision à écran plat||Téléphone||Télévision,Buffet avec options enfants||Snack-bar,Une connexion Wi-Fi est disponible dans tout l'établissement gratuitemen,Un parking gratuit et privé est disponible sur place (sans réservation préalable,Casiers||Enregistrement/départ privé||Enregistrement/règlement rapide||Réception ouverte 24h/24,Service de repassage En supplément||Blanchisserie/laverie En supplément,Salles de réunion/réception En supplément,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Cartes d'accès||Clés d'accès||Sécurité 24h/24||Coffre-fort,Supérette sur place||Salon commun/salle de télévision||Distributeur automatique (collations)||Distributeur automatique (boissons)||Climatisation||Établissement entièrement non-fumeurs||Chambres insonorisées||Ascenseur||Chambres familiales||Chambres non-fumeurs||Service d'étage,unknown,unknown,Thaï,Équipe d'animation||Karaoké,unknown,unknown
Riverside Bangkok Hotel,"Thaïlande


–

Très bon emplacement - voir la carte",10700 Bangkok,Soi Ratchawithi 21  Bang Phlat,4,7.7,"8,7","7,7","8,0","8,4","8,0","8,5","5,0",Piscine extérieure ||Connexion Wi-Fi gratuite ||Navette aéroport (gratuite) ||Chambres non-fumeurs ||Centre de remise en forme ||Parking gratuit ||Spa et centre de bien-être ||Restaurant ||Bar ||Petit-déjeuner ,,,,,,,Chambre Double ou Lits Jumeaux Deluxe - Vue sur Rivière1 lit doubleou2 lits simples  : 2 adultes||Chambre Deluxe1 lit doubleou2 lits simples  : 2 adultes||Chambre Double Deluxe1 lit double  : 2 adultes||Chambre Lits Jumeaux Deluxe2 lits simples  : 2 adultes||Chambre Double Deluxe1 lit double  : 2 adultes||Chambre Lits Jumeaux Deluxe2 lits simples  : 2 adultes,Papier toilette||Serviettes||Salle de bains privative||Toilettes||Articles de toilette gratuits||Sèche-cheveux||Douche,Linge de maison||Armoire ou penderie,Vue,Balcon||Terrasse||Jardin,Bouilloire électrique||Réfrigérateur,unknown,Bureau,Télévision à écran plat,Bar||Restaurant,Une connexion Wi-Fi est disponible dans tout l'établissement gratuitemen,Un parking gratuit et public est disponible sur place (sans réservation préalable,unknown,unknown,unknown,unknown,Coffre-fort,Climatisation||Établissement entièrement non-fumeurs||Chambres non-fumeurs,unknown,Bain à remous/jacuzzi||Spa et centre de bien-être En supplément||Centre de remise en forme||Sauna,Anglais||Thaï,unknown,unknown,unknown
Bangkok Palace Hotel,"Thaïlande


–

Bon emplacement - voir la carte


–

Accès à la gare",10400 Bangkok,1091/336 New Petchburi Road  Ratchathewi,5,6,"6,8","6,5","6,8","6,8","6,7","7,1","4,0",Piscine extérieure ||Connexion Wi-Fi gratuite ||Chambres familiales ||Chambres non-fumeurs ||Centre de remise en forme ||Parking gratuit ||Restaurant ||Réception ouverte 24h/24 ||Service d'étage ||Petit-déjeuner ,,,,,,,Chambre Double ou Lits Jumeaux Supérieure2 lits simplesou1 lit double  : 2 adultes||Chambre Double ou Lits Jumeaux Exécutive2 lits simplesou1 lit double  : 2 adultes||Chambre Deluxe Double ou Lits Jumeaux1 lit doubleou2 lits simples  : 2 adultes||Suite Junior1 lit double  : 2 adultes||Suite Familiale1 lit simpleet1 lit double  : 3 adultes||Chambre Lit King-Size Supérieure1 très grand lit double  : 2 adultes,unknown,unknown,unknown,Terrasse bien exposée,unknown,unknown,unknown,unknown,Café sur place||Vin/champagne||Restaurant,Une connexion Wi-Fi est disponible dans les chambres gratuitemen,Un parking gratuit et public est disponible sur place (sans réservation préalable,Enregistrement/départ privé||Service de concierge||Bagagerie||Service de change||Enregistrement/règlement rapide||Réception ouverte 24h/24,Service de ménage quotidien||Blanchisserie/laverie En supplément,Fax/photocopies En supplément||Centre d'affaires En supplément||Salles de réunion/réception En supplément,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Clés d'accès||Sécurité 24h/24||Coffre-fort,Espace fumeurs||Climatisation||Établissement entièrement non-fumeurs||Ascenseur||Chambres familiales||Chambres non-fumeurs||Service d'étage,unknown,Vestiaires salle de sport/spa||Fitness||Parasols||Bain public||Centre de remise en forme,Anglais||Thaï,unknown,Garde d'enfants En supplément,unknown
Pannarai Hotel Bangkok,"Thaïlande


–

Bon emplacement - voir la carte",10400 Bangkok,99/8 Ratchaprarop Road RATCHATHEWI  MAKKASAN  Ratchathewi,4,7.7,"8,2","8,0","8,0","8,1","7,7","7,6","5,0",Piscine extérieure ||Connexion Wi-Fi gratuite ||Chambres non-fumeurs ||Centre de remise en forme ||Parking gratuit ||Restaurant ||Réception ouverte 24h/24 ||Service d'étage ||Climatisation ||Petit-déjeuner ,,,,,,,"Chambre Lits Jumeaux Supérieure2 lits simples  : 2 adultes, 1 enfant||Chambre Double Supérieure1 très grand lit double  : 2 adultes, 1 enfant||Chambre Lits Jumeaux Deluxe2 lits simples  : 2 adultes, 1 enfant||Chambre Double Deluxe1 grand lit double  : 2 adultes, 1 enfant||Suite Exécutive1 grand lit double  : 2 adultes, 1 enfant||Chambre Familiale2 lits doubles  : 4 adultes, 1 enfant",Papier toilette||Serviettes||Chaussons||Salle de bains privative||Toilettes||Articles de toilette gratuits||Sèche-cheveux||Douche,Armoire ou penderie,unknown,Jardin,Bouilloire électrique||Réfrigérateur,Portant,unknown,Télévision à écran plat||Téléphone,Restaurant,Une connexion Wi-Fi est disponible dans tout l'établissement gratuitemen,Un parking gratuit et privé est disponible sur place (uniquement sur réservation,unknown,unknown,unknown,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Cartes d'accès||Sécurité 24h/24||Coffre-fort,Supérette sur place||Climatisation||Ascenseur||Chambres non-fumeurs,unknown,Vestiaires salle de sport/spa||Fitness||Bain à vapeur||Centre de remise en forme,Anglais||Thaï,unknown,unknown,unknown
Capital O 75451 Podstel Hostel Bangkok,"Thaïlande


–

Bon emplacement - voir la carte


–

Proche du métro",10900 Bangkok,5 Ratchadapisek Rd  Chom Phon  Chatuchak  Bangkok  Chatuchak,4,6.6,"7,6","7,0","7,5","7,3","7,5","7,2","6,8",Piscine extérieure ||Connexion Wi-Fi gratuite ||Chambres familiales ||Chambres non-fumeurs ||Parking gratuit ||Restaurant ||Réception ouverte 24h/24 ||Service d'étage ||Bar ||Climatisation ,,,,,,,"Chambre Simple Standard1 lit simple  : 1 adulte||Chambre Lits Jumeaux Deluxe2 lits simples  : 2 adultes, 1 enfant||Chambre Lits Jumeaux Supérieure2 lits simples  : 2 adultes, 1 enfant||Lit Simple dans Dortoir pour Hommes1 lit simple  : 1 adulte||Lit Simple en Dortoir1 lit simple  : 1 adulte||Lit Superposé dans Dortoir Mixte1 lit simple  : 1 adulte",Baignoire ou douche||Toilettes||Articles de toilette gratuits||Douche,unknown,unknown,Mobilier extérieur,unknown,Prise près du lit,unknown,unknown,Bar||Restaurant,Une connexion Wi-Fi est disponible dans tout l'établissement gratuitemen,Un parking gratuit et public est disponible sur place (sans réservation préalable,Facture fournie sur demande,unknown,unknown,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Clés d'accès||Sécurité 24h/24,Espace fumeurs||Climatisation||Sol carrelé / en marbre||Ascenseur||Ventilateur||Chambres familiales||Chambres non-fumeurs,Ouverte toute l'année,Vestiaires salle de sport/spa||Fitness,Anglais||Thaï,unknown,unknown,unknown
ibis Bangkok Sathorn,"Thaïlande


–

Très bon emplacement - voir la carte


–

Proche du métro",10120 Bangkok,Soi Ngam Duphli Rama IV  Sathorn,3,8.1,"8,6","8,1","8,6","8,5","8,3","8,2","8,1",Connexion Wi-Fi gratuite ||Chambres non-fumeurs ||Parking gratuit ||Restaurant ||Réception ouverte 24h/24 ||Équipements pour les personnes handicapées ||Bar ||Climatisation ||Plateau/bouilloire dans tous les hébergements ,"Doggy 700m||Parc Lumpini 1,1km||룸피니 공원 1,2km||Play Space By Kiddyplay 1,3km||Parc Benjakitti 1,6km||Gratte-ciel MahaNakhon 2km||SEA LIFE Bangkok Ocean World 2,9km||Madame Tussauds Bangkok 3,2km||Thailand Creative & Design Center 3,4km||Maison de Jim Thompson 3,6km||",Café / barWong's Place 50m||Café / barLuna Craft Bar 250m||Café / barCaffe 352 300m||,Palais royal 6km||Musée national de Bangkok 7km||,unknown,"MétroMétro (MRT) Lumphini 400m||MétroMétro (MRT) Khlong Toei 800m||TrainMae Nam 1,2km||TrainStation de métro Skytrain BTS  Sala Daeng 1,5km||BusGare routière d'Ekamai 4,1km||BusGare routière de Mo Chit 10km||","MétroMétro (MRT) Lumphini 400m||MétroMétro (MRT) Khlong Toei 800m||TrainMae Nam 1,2km||TrainStation de métro Skytrain BTS  Sala Daeng 1,5km||BusGare routière d'Ekamai 4,1km||BusGare routière de Mo Chit 10km||","Chambre Supérieure Lit Queen-Size1 grand lit double  : 2 adultes, 1 enfant||Chambre Lits Jumeaux Supérieure2 lits simples  : 2 adultes, 1 enfant",Papier toilette||Serviettes||Salle de bains privative||Toilettes||Articles de toilette gratuits||Sèche-cheveux||Douche,Linge de maison||Armoire ou penderie,Vue sur la ville||Vue,unknown,Bouilloire électrique||Réfrigérateur,Prise près du lit||Portant,Coin salon||Bureau,Télévision à écran plat||Chaînes du câble||Chaînes satellite||Téléphone||Télévision,Menus enfants En supplément||Bar||Restaurant||Plateau / bouilloire,Une connexion Wi-Fi est disponible dans les chambres gratuitemen,Un parking gratuit et privé est disponible sur place (sans réservation préalable,Distributeur automatique de billets sur place||Bagagerie||Service de change||Réception ouverte 24h/24,Service de ménage quotidien||Nettoyage à sec En supplément||Blanchisserie/laverie En supplément,Fax/photocopies En supplément||Salles de réunion/réception En supplément,unknown,Extincteurs||Caméras de surveillance à l'extérieur de l'établissement||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Cartes d'accès||Sécurité 24h/24||Coffre-fort,Service de navette||Espace fumeurs||Climatisation||Service de réveil||Parquet||Ascenseur||Équipements pour les personnes handicapées||Chambres non-fumeurs,unknown,unknown,Anglais||Thaï,unknown,unknown,Cordon d'alarme dans la salle de bains||Toilettes surélevées||Toilettes avec barres d'appui||Accessible en fauteuil roulant||Étages supérieurs accessibles par ascenseur
Alley & Pier,"Thaïlande


–

Excellent emplacement - voir la carte",10200 Bangkok,47 Pra Atit Road  Chanasongkram  Pranakorn  Phra Nakhon,3,8.5,"8,6","8,3","8,9","9,0","8,9","9,5","9,3",Connexion Wi-Fi gratuite ||Navette aéroport ||Chambres non-fumeurs ||Parking privé ||Climatisation ||Ascenseur ,,,,,,,Chambre Simple1 lit simple  : 1 adulte||Chambre Familiale2 lits doubles  : 4 adultes||Chambre Lits Jumeaux2 lits simples  : 2 adultes||Chambre Double1 lit double  : 2 adultes||Chambre Double Deluxe1 lit double  : 2 adultes||Chambre Lit King-Size Deluxe1 grand lit double  : 2 adultes||Chambre Lits Jumeaux Deluxe2 lits simples  : 2 adultes,Papier toilette||Serviettes||Salle de bains privative||Toilettes||Articles de toilette gratuits||Sèche-cheveux||Douche,Linge de maison,unknown,unknown,unknown,Portant,Bureau,unknown,unknown,Une connexion Wi-Fi est disponible dans tout l'établissement gratuitemen,Un parking privé est disponible sur place (sans réservation préalable) au tarif de THB 150 par jou,unknown,unknown,unknown,unknown,Extincteurs||Caméras de surveillance dans les parties communes,Climatisation||Établissement entièrement non-fumeurs||Ascenseur||Chambres non-fumeurs,unknown,unknown,Anglais||Thaï,unknown,unknown,unknown
House of Happiness,"Thaïlande


–

Très bon emplacement - voir la carte


–

Accès à la gare",10600 Bangkok,558/1 Mung Me Tawee Suk  Soi 16  Tha Din Daeng Road  Khlong Sarn  Khlong San,3,8.8,"9,0","8,8","9,1","9,0","9,4","8,0","8,3",Connexion Wi-Fi gratuite ||Chambres non-fumeurs ||Climatisation ||Service de ménage quotidien ||Espace fumeurs ,"My Playground 600m||Mu Ban Vieng Thong Playground 800m||Eat Eat 1,3km||King Taksin the Great Monument 1,4km||Lumyai Houses 1,4km||Museum of Siam 1,5km||Thailand Creative & Design Center 1,6km||Bangkokian Museum 1,7km||Pont Taksin 1,9km||Sweet 2km||",Café / barCafé Amazon 50m||RestaurantBokkia Tha Din Daeng 100m||Café / barDeep Root 350m||,"Palais royal 2,2km||Bangkok City Pillar 2,3km||Sanam Luang 2,6km||Musée national de Bangkok 2,9km||Gratte-ciel MahaNakhon 2,9km||Maison de Jim Thompson 3,2km||Madame Tussauds Bangkok 3,3km||Parc Santichiprakan 3,4km||SEA LIFE Bangkok Ocean World 3,7km||Parc Lumpini 4,2km||",unknown,"TrainPrajadhipok 500m||TrainKhlong San 550m||MétroMétro (MRT) Hua Lamphong 1,5km||MétroMétro (MRT) Sam Yan 2,9km||BusGare routière d'Ekamai 8km||BusGare routière de Mo Chit 10km||","TrainPrajadhipok 500m||TrainKhlong San 550m||MétroMétro (MRT) Hua Lamphong 1,5km||MétroMétro (MRT) Sam Yan 2,9km||BusGare routière d'Ekamai 8km||BusGare routière de Mo Chit 10km||",Appartement Deluxe1 grand lit double  : 2 adultes||Appartement Standard1 lit double  : 2 adultes||Studio2 lits simples  : 2 adultes,Papier toilette||Serviettes||Baignoire ou douche||Chaussons||Salle de bains privative||Toilettes||Sèche-cheveux||Douche,unknown,unknown,Balcon,Bouilloire électrique||Lave-linge||Réfrigérateur,Portant||Matériel de repassage,Coin salon||Bureau,Télévision à écran plat||Chaînes du câble||Télévision,unknown,Une connexion Wi-Fi est disponible dans les chambres gratuitemen,L'établissement ne dispose pas de parkin,unknown,Service de ménage quotidien En supplément,unknown,unknown,Extincteurs||Caméras de surveillance dans les parties communes||Détecteurs de fumée||Alarme de sécurité||Cartes d'accès||Clés d'accès||Sécurité 24h/24,unknown,unknown,unknown,Anglais||Thaï,unknown,unknown,unknown
